Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C15, C16, C21, C22, C23, C24, C7, C8",0603,12,100n,
C12,CP_Radial_D5.0mm_P2.00mm,1,C_Polarized,
"C13, C19, C2, C20, C9",0603,5,1u,
"C17, C18",0805,2,10u,
"C5, C6",0603,2,6.8p,
"D1, D2, D3, D5",0603,4,LED,
D4,D_SOD-323F,1,MM3Zxx,
"J1, J11, J12, J9",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04,
J10,MSD11A,1,MSD-11-A,
"J13, J15, J4",PinHeader_1x01_P2.54mm_Vertical,3,Conn_01x01,
"J14, J16",TerminalBlock_MetzConnect_Type101_RT01603HBWC_1x03_P5.08mm_Horizontal,2,Screw_Terminal_01x03,
J2,Jack_XLR_Neutrik_NC3MAAH_Horizontal,1,NC3MAAH,
J3,Jack_XLR_Neutrik_NC3FAAH_Horizontal,1,NC3FAAH,
J5,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J6, J8",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
L1,SRR1050A221Y,1,SRR1050A-270Y,
"R1, R3",0603,2,10k,
"R10, R11, R12, R13, R14, R23, R4, R5, R6, R7, R8, R9",0603,12,5.1k,
"R15, R16, R17, R18, R19, R20, R21, R26",0603,8,470,
"R22, R24",0603,2,100k,
R25,0603,1,19.1k,
"RGB1, RGB2, RGB3",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,
"S1, S2, S3",RKB2SJM250SMTRLFS,3,RKB2SJM250SMTR_LFS,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ST485E,
U2,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-1,
U3,ST_UFQFPN-20_3x3mm_P0.5mm,1,STM32C011F4Ux,
U4,SOT95P280X145-6N,1,LMR51610XDBVR,
"U5, U6",SOT-363_SC-70-6,2,LM66100DCK,
U7,SOT95P280X145-5N,1,TLV74033PDBVR,
"U8, U9",SOT-353_SC-70-5_Handsoldering,2,74AHCT1G125,
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,Crystal_GND24,
