Designator,Mid X,Mid Y,Rotation,Layer
C1,160.6475,-105.256661,180.0,top
C10,135.128,-111.6065,90.0,top
C11,154.432,-129.54,0.0,bottom
C12,166.668888,-120.396,0.0,top
C13,166.5235,-124.734,180.0,top
C14,166.5235,-126.512,180.0,top
C15,163.256,-129.3865,270.0,top
C16,133.35,-107.696,90.0,top
C17,145.796,-128.524,90.0,top
C18,147.828,-128.524,90.0,top
C19,139.38,-132.628,180.0,top
C2,160.6475,-103.478661,180.0,top
C20,139.38,-126.024,180.0,top
C21,147.156,-141.478,90.0,top
C22,138.684,-136.652,0.0,top
C23,164.174,-141.478,90.0,top
C24,155.702,-136.652,0.0,top
C3,165.734,-98.552,180.0,top
C4,169.036,-98.552,0.0,top
C5,139.192,-108.712,90.0,top
C6,145.288,-108.712,270.0,top
C7,135.382,-123.19,0.0,top
C8,148.556,-108.7055,270.0,top
C9,147.032,-108.7055,270.0,top
D1,150.334,-108.552,90.0,top
D2,152.112,-108.552,90.0,top
D3,145.288,-114.808,180.0,top
D4,157.988,-122.174,180.0,top
D5,135.382,-127.508,0.0,top
J1,154.705,-107.796661,0.0,top
J10,162.856,-131.318,270.0,bottom
J11,168.656,-110.998,0.0,top
J12,155.448,-117.602,270.0,top
J13,133.858,-137.668,0.0,top
J14,139.954,-147.828,0.0,top
J15,150.876,-137.668,0.0,top
J16,156.972,-147.828,0.0,top
J2,152.908,-87.699,180.0,top
J3,126.492,-87.259,90.0,top
J4,147.066,-133.858,0.0,top
J5,150.368,-99.568,90.0,top
J6,110.744,-112.014,180.0,top
J7,119.792,-148.336,0.0,top
J8,123.19,-99.568,270.0,top
J9,139.7,-120.65,90.0,top
L1,155.448,-129.286,270.0,top
R1,169.036,-100.33,180.0,top
R10,136.144,-104.902,90.0,top
R11,115.316,-102.362,180.0,top
R12,130.556,-102.362,0.0,top
R13,117.602,-141.986,0.0,top
R14,122.682,-141.986,180.0,top
R15,150.334,-112.0985,270.0,top
R16,152.112,-112.0985,270.0,top
R17,145.288,-116.332,180.0,top
R18,154.432,-125.984,0.0,bottom
R19,154.432,-131.318,0.0,bottom
R2,167.386,-102.089,180.0,top
R20,154.432,-127.762,0.0,bottom
R21,154.432,-133.096,0.0,bottom
R22,161.544,-120.396,180.0,top
R23,157.988,-120.396,180.0,top
R24,165.862,-132.986,0.0,top
R25,168.402,-131.97,90.0,top
R26,135.382,-129.286,0.0,top
R3,165.734,-100.33,180.0,top
R4,147.066,-137.668,90.0,bottom
R5,147.066,-130.048,90.0,bottom
R6,129.286,-141.732,180.0,top
R7,127.0,-102.362,0.0,top
R8,133.35,-120.396,90.0,top
R9,121.158,-102.362,180.0,top
RGB1,139.7,-114.3,0.0,top
RGB2,139.446,-140.462,0.0,top
RGB3,156.464,-140.462,0.0,top
S1,111.252,-127.0,90.0,top
S2,128.524,-148.844,270.0,top
S3,140.716,-104.648,0.0,top
U1,160.482,-109.193661,270.0,top
U2,122.682,-116.84,180.0,top
U3,147.32,-104.902,90.0,top
U4,165.862,-129.54,90.0,top
U5,143.002,-131.064,0.0,top
U6,143.002,-127.508,0.0,top
U7,139.446,-129.306,90.0,top
U8,144.616,-140.716,90.0,top
U9,161.634,-140.716,90.0,top
Y1,142.24,-108.712,0.0,top
